#Version 6.4.1.1 
#New best, Iteration, Feasible,Objective,Req 1,Con 1,[total profit],[Reorder Point],[Taget Stock],[trs],
#, , , ,,,,integer (20 40), integer (30 65), integer (-10 10), 
,117,,38514.6666666667,38514.6666666667,57,38514.6666666667,23,57,-10,
,118,,51384.3333333333,51384.3333333333,35,51384.3333333333,40,35,-10,
,119,,35435,35435,54,35435,20,54,-10,
,120,,53128.3333333333,53128.3333333333,40,53128.3333333333,39,40,-10,
,121,,37451,37451,30,37451,39,30,-10,
,122,,35704.3333333333,35704.3333333333,57,35704.3333333333,31,57,-10,
,123,,50009.3333333333,50009.3333333333,36,50009.3333333333,39,36,-8,
,124,,38603.3333333333,38603.3333333333,58,38603.3333333333,29,58,-10,
,125,,52743.6666666667,52743.6666666667,38,52743.6666666667,38,38,-10,
,126,,39331.6666666667,39331.6666666667,55,39331.6666666667,27,55,-10,
,127,,48849.6666666667,48849.6666666667,44,48849.6666666667,38,44,-10,
,128,,42138.6666666667,42138.6666666667,52,42138.6666666667,26,52,-10,
,129,,52267,52267,38,52267,39,38,-9,
,130,,37517,37517,52,37517,21,52,-10,
,131,,50112,50112,35,50112,40,35,-9,
,132,,37594.6666666667,37594.6666666667,57,37594.6666666667,29,57,-10,
*,133,,53215,53215,39,53215,39,39,-10,
,134,,38748.3333333333,38748.3333333333,55,38748.3333333333,28,55,-10,
,135,,53215,53215,39,53215,40,39,-10,
,136,,40850.6666666667,40850.6666666667,55,40850.6666666667,25,55,-10,
,137,,53215,53215,39,53215,38,39,-10,
,138,,53215,53215,39,53215,36,39,-10,
,139,,53128.3333333333,53128.3333333333,40,53128.3333333333,36,40,-10,
,140,,52743.6666666667,52743.6666666667,38,52743.6666666667,40,38,-10,
,141,,38049.6666666667,38049.6666666667,56,38049.6666666667,29,56,-10,
,142,,53215,53215,39,53215,35,39,-10,
,143,,53215,53215,39,53215,37,39,-10,
,144,,52743.6666666667,52743.6666666667,38,52743.6666666667,39,38,-10,
,145,,39594,39594,52,39594,24,52,-10,
,146,infeas,-34703,-34703,59,-34703,22,59,8,
,147,infeas,-46565.3333333333,-46565.3333333333,33,-46565.3333333333,37,33,10,
,148,,28942,28942,64,28942,26,64,-9,
,149,,18036,18036,60,18036,39,60,5,
,150,,41131.3333333333,41131.3333333333,38,41131.3333333333,21,38,-3,
,151,,31351.6666666667,31351.6666666667,51,31351.6666666667,30,51,0,
,152,infeas,-18296.3333333333,-18296.3333333333,36,-18296.3333333333,21,36,8,
,153,,36192.6666666667,36192.6666666667,37,36192.6666666667,38,37,-1,
,154,,9175,9175,48,9175,29,48,9,
,155,,6921.66666666667,6921.66666666667,65,6921.66666666667,23,65,-1,
,156,,41945.3333333333,41945.3333333333,51,41945.3333333333,22,51,-10,
,157,,6361.33333333333,6361.33333333333,59,6361.33333333333,34,59,8,
,158,,52267,52267,38,52267,35,38,-9,
,159,,53128.3333333333,53128.3333333333,40,53128.3333333333,38,40,-10,
,160,infeas,-17282.6666666667,-17282.6666666667,36,-17282.6666666667,25,36,8,
,161,,41955.6666666667,41955.6666666667,48,41955.6666666667,40,48,-10,
,162,,51721.6666666667,51721.6666666667,39,51721.6666666667,32,39,-9,
,163,,49971.6666666667,49971.6666666667,39,49971.6666666667,36,39,-6,
,164,,42595.6666666667,42595.6666666667,48,42595.6666666667,22,48,-10,
,165,,51348,51348,39,51348,35,39,-8,
,166,infeas,-8764,-8764,37,-8764,21,37,7,
,167,,8360.66666666667,8360.66666666667,36,8360.66666666667,26,36,4,
,168,,4665,4665,42,4665,23,42,7,
,169,,42261.6666666667,42261.6666666667,38,42261.6666666667,26,38,-2,
,170,,35086,35086,38,35086,20,38,-3,
,171,,45238.3333333333,45238.3333333333,46,45238.3333333333,40,46,-10,
,172,,34436.3333333333,34436.3333333333,44,34436.3333333333,23,44,-2,
,173,,43004.6666666667,43004.6666666667,43,43004.6666666667,37,43,-1,
,174,,41360.3333333333,41360.3333333333,40,41360.3333333333,29,40,-1,
,175,,41380.6666666667,41380.6666666667,53,41380.6666666667,25,53,-10,
,176,infeas,-35243.3333333333,-35243.3333333333,65,-35243.3333333333,22,65,8,
,177,,49971.6666666667,49971.6666666667,39,49971.6666666667,31,39,-6,
,178,,17697.3333333333,17697.3333333333,37,17697.3333333333,22,37,3,
,179,infeas,-6004.66666666667,-6004.66666666667,37,-6004.66666666667,22,37,7,
,180,infeas,-11079,-11079,37,-11079,20,37,7,
,181,,41212.3333333333,41212.3333333333,44,41212.3333333333,40,44,0,
,182,,19173.6666666667,19173.6666666667,65,19173.6666666667,40,65,-3,
,183,,21246,21246,44,21246,21,44,0,
,184,,27489.3333333333,27489.3333333333,38,27489.3333333333,29,38,2,
,185,infeas,-17918,-17918,36,-17918,23,36,8,
,186,,18160.3333333333,18160.3333333333,38,18160.3333333333,29,38,4,
,187,,412,412,37,412,22,37,6,
,188,,33212.6666666667,33212.6666666667,38,33212.6666666667,28,38,1,
,189,,42503.6666666667,42503.6666666667,49,42503.6666666667,24,49,-10,
,190,infeas,-44024.3333333333,-44024.3333333333,59,-44024.3333333333,22,59,10,
,191,,49222.3333333333,49222.3333333333,44,49222.3333333333,32,44,-9,
,192,,45823.3333333333,45823.3333333333,32,45823.3333333333,38,32,-10,
,193,,37451,37451,30,37451,36,30,-10,
,194,infeas,-22449,-22449,61,-22449,23,61,6,
,195,infeas,-7254.33333333333,-7254.33333333333,39,-7254.33333333333,22,39,8,
,196,,28183,28183,65,28183,35,65,-10,
,197,infeas,-34751.6666666667,-34751.6666666667,65,-34751.6666666667,23,65,9,
,198,infeas,-15977.3333333333,-15977.3333333333,52,-15977.3333333333,23,52,8,
,199,infeas,-37311,-37311,65,-37311,20,65,8,
,200,,6980.66666666667,6980.66666666667,65,6980.66666666667,40,65,8,
,201,infeas,-26420.6666666667,-26420.6666666667,55,-26420.6666666667,22,55,8,
,202,infeas,-29306.3333333333,-29306.3333333333,65,-29306.3333333333,23,65,8,
,203,,20811.6666666667,20811.6666666667,43,20811.6666666667,25,43,4,
,204,,47787.6666666667,47787.6666666667,46,47787.6666666667,24,46,-10,
,205,,141.666666666667,141.666666666667,63,141.666666666667,30,63,6,
,206,,44667.6666666667,44667.6666666667,46,44667.6666666667,23,46,-10,
,207,,16308.6666666667,16308.6666666667,56,16308.6666666667,35,56,7,
,208,,48290.3333333333,48290.3333333333,45,48290.3333333333,27,45,-10,
,209,,28722,28722,52,28722,40,52,7,
,210,,52004.3333333333,52004.3333333333,42,52004.3333333333,30,42,-10,
,211,,21016,21016,57,21016,40,57,6,
*,212,,54649.6666666667,54649.6666666667,37,54649.6666666667,25,37,-10,
,213,,53611.6666666667,53611.6666666667,37,53611.6666666667,26,37,-10,
,214,,24331,24331,49,24331,40,49,8,
,215,,37120.3333333333,37120.3333333333,30,37120.3333333333,24,30,-10,
,216,,28218,28218,46,28218,40,46,6,
,217,,52500.6666666667,52500.6666666667,37,52500.6666666667,28,37,-10,
,218,,53437,53437,36,53437,24,36,-10,
,219,,53739.3333333333,53739.3333333333,37,53739.3333333333,20,37,-10,
,220,,52743.6666666667,52743.6666666667,38,52743.6666666667,33,38,-10,
,221,,50416.3333333333,50416.3333333333,40,50416.3333333333,24,40,-7,
,222,,43005.3333333333,43005.3333333333,37,43005.3333333333,23,37,-3,
,223,,47436.6666666667,47436.6666666667,37,47436.6666666667,25,37,-5,
,224,,50274.3333333333,50274.3333333333,44,50274.3333333333,25,44,-10,
,225,,37008.6666666667,37008.6666666667,43,37008.6666666667,26,43,1,
,226,,52702.6666666667,52702.6666666667,37,52702.6666666667,30,37,-10,
,227,,9201.33333333333,9201.33333333333,41,9201.33333333333,40,41,8,
,228,,41526.3333333333,41526.3333333333,31,41526.3333333333,33,31,-10,
,229,,27674.3333333333,27674.3333333333,53,27674.3333333333,40,53,7,
,230,,51412,51412,42,51412,26,42,-10,
,231,,30255.3333333333,30255.3333333333,52,30255.3333333333,40,52,5,
,232,,51384.3333333333,51384.3333333333,35,51384.3333333333,31,35,-10,
,233,,29304.3333333333,29304.3333333333,54,29304.3333333333,40,54,3,
,234,,53675.3333333333,53675.3333333333,40,53675.3333333333,27,40,-10,
,235,,31911,31911,47,31911,40,47,5,
,236,,50262.6666666667,50262.6666666667,34,50262.6666666667,25,34,-10,
,237,,31976.6666666667,31976.6666666667,44,31976.6666666667,40,44,4,
,238,,53669,53669,40,53669,29,40,-10,
,239,,28878.6666666667,28878.6666666667,53,28878.6666666667,40,53,5,
,240,,53143.6666666667,53143.6666666667,41,53143.6666666667,24,41,-10,
,241,,37655,37655,47,37655,40,47,2,
,242,,54571,54571,40,54571,26,40,-10,
,243,,42991,42991,44,42991,40,44,-1,
,244,,53402.3333333333,53402.3333333333,38,53402.3333333333,23,38,-10,
,245,,38562.3333333333,38562.3333333333,40,38562.3333333333,40,40,0,
,246,,54229.6666666667,54229.6666666667,39,54229.6666666667,26,39,-10,
,247,,53999,53999,40,53999,25,40,-10,
,248,,47505,47505,41,47505,20,41,-10,
,249,,40945,40945,52,40945,24,52,-9,
,250,,44116.3333333333,44116.3333333333,39,44116.3333333333,24,39,-3,
,251,,43280.6666666667,43280.6666666667,44,43280.6666666667,26,44,-3,
